Model,Maturity,R2,RMSE,MAE,MAPE (%)
Base CIR,050YR,0.9891128722265051,0.001825667965526954,0.0013401082273415312,14.667373774480518
Two-Factor CIR,050YR,0.9891935892915152,0.0018188876320759304,0.0013293350318412647,14.361142585703824
Base CIR,075YR,0.9742018439201705,0.002796083638042345,0.002054203477209705,19.09418903001452
Two-Factor CIR,075YR,0.974330380347952,0.0027891093530189657,0.0020407403110734653,18.703426959683142
Base CIR,100YR,0.9520647874785846,0.0038017477666700615,0.0027895667829359707,22.554270652699646
Two-Factor CIR,100YR,0.952243363951897,0.0037946596977479004,0.0027741190300173972,22.113578641179497
Base CIR,200YR,0.9165861993567742,0.004097267933352804,0.0032425306987457574,30.878588148622566
Two-Factor CIR,200YR,0.915621091235662,0.004120902717198819,0.0032546338541505114,30.341120147986235
Base CIR,500YR,0.7719336933387505,0.005097102997355781,0.0043422472267479655,34.60624105769446
Two-Factor CIR,500YR,0.7668804972974917,0.005153261115214712,0.004390127466454816,34.35391837081243
Base CIR,1000YR,0.7343651416389342,0.004635039298193888,0.003959994750691797,27.583718909055825
Two-Factor CIR,1000YR,0.7309514347146948,0.004664726958765468,0.0040130051570533235,27.5556276021896
Base CIR,2000YR,0.6475381559416677,0.004350174183324562,0.0035460060129007265,18.66255528028057
Two-Factor CIR,2000YR,0.6531600252773493,0.004315341452677682,0.003515123478885014,18.52531758089794
Base CIR,3000YR,0.5761438863590858,0.004392507156126952,0.0035096856753665676,18.86112352755642
Two-Factor CIR,3000YR,0.5860067927340309,0.00434110069275202,0.003455311472778021,18.667381549827144
